,Year,Month,Day,Hour,Minute,GHI,Wind Speed,Temperature,Relative Humidity,Pressure
0,2019,1,1,0,0,0,3.2,2.5,95.63,1002
1,2019,1,1,0,30,0,3.1,2.3000000000000003,97.1,1003
2,2019,1,1,1,0,0,3.1,2.0,97.77,1004
3,2019,1,1,1,30,0,2.8000000000000003,1.5,100.0,1005
4,2019,1,1,2,0,0,2.4000000000000004,1.0,100.0,1005
5,2019,1,1,2,30,0,2.2,0.7000000000000001,100.0,1005
6,2019,1,1,3,0,0,2.1,0.4,100.0,1005
7,2019,1,1,3,30,0,2.2,0.2,100.0,1006
8,2019,1,1,4,0,0,2.3000000000000003,0.1,100.0,1006
9,2019,1,1,4,30,0,2.4000000000000004,0.0,100.0,1006
10,2019,1,1,5,0,0,2.5,0.0,100.0,1006
11,2019,1,1,5,30,0,2.4000000000000004,-0.2,100.0,1007
12,2019,1,1,6,0,0,2.2,-0.3,100.0,1007
13,2019,1,1,6,30,0,2.2,-0.2,99.41,1008
14,2019,1,1,7,0,0,2.1,-0.1,97.79,1008
15,2019,1,1,7,30,5,2.5,0.8,91.72,1009
16,2019,1,1,8,0,14,2.8000000000000003,1.8,88.8,1009
17,2019,1,1,8,30,26,2.7,3.0,81.54,1009
18,2019,1,1,9,0,35,2.7,4.2,79.32000000000001,1009
19,2019,1,1,9,30,38,2.4000000000000004,5.2,73.98,1009
20,2019,1,1,10,0,46,2.1,6.2,72.95,1009
21,2019,1,1,10,30,58,2.1,6.6000000000000005,70.97,1009
22,2019,1,1,11,0,71,2.2,6.9,71.03,1009
23,2019,1,1,11,30,112,2.5,6.9,71.03,1009
24,2019,1,1,12,0,105,2.8000000000000003,6.9,71.24,1009
25,2019,1,1,12,30,81,2.9000000000000004,6.800000000000001,71.72,1009
26,2019,1,1,13,0,59,2.9000000000000004,6.7,71.58,1009
27,2019,1,1,13,30,52,2.9000000000000004,6.4,73.07000000000001,1009
28,2019,1,1,14,0,56,2.8000000000000003,6.2,73.07000000000001,1009
29,2019,1,1,14,30,27,2.7,5.800000000000001,75.11,1009
30,2019,1,1,15,0,19,2.5,5.4,77.18,1009
31,2019,1,1,15,30,12,1.9,4.7,81.03,1009
32,2019,1,1,16,0,7,1.4,3.9,88.73,1010
33,2019,1,1,16,30,2,1.4,3.4000000000000004,91.9,1010
34,2019,1,1,17,0,0,1.4,2.9000000000000004,92.41,1010
35,2019,1,1,17,30,0,1.4,2.9000000000000004,92.41,1010
36,2019,1,1,18,0,0,1.5,2.4000000000000004,93.32,1011
37,2019,1,1,18,30,0,1.5,2.2,94.65,1011
38,2019,1,1,19,0,0,1.6,2.0,93.76,1011
39,2019,1,1,19,30,0,1.6,1.8,95.11,1011
40,2019,1,1,20,0,0,1.6,1.7000000000000002,94.07,1011
41,2019,1,1,20,30,0,1.5,1.5,95.42,1011
42,2019,1,1,21,0,0,1.5,1.4,94.47,1010
43,2019,1,1,21,30,0,1.4,1.2000000000000002,95.84,1010
44,2019,1,1,22,0,0,1.3,1.1,94.85,1010
45,2019,1,1,22,30,0,1.2000000000000002,0.9,96.22,1010
46,2019,1,1,23,0,0,1.2000000000000002,0.8,95.06,1010
47,2019,1,1,23,30,0,1.1,0.7000000000000001,95.74,1010
48,2019,1,2,0,0,0,1.1,0.6000000000000001,95.23,1010
49,2019,1,2,0,30,0,1.0,0.6000000000000001,95.23,1010
50,2019,1,2,1,0,0,1.0,0.5,94.83,1010
51,2019,1,2,1,30,0,1.0,0.4,95.52,1010
52,2019,1,2,2,0,0,1.0,0.4,94.46,1010
53,2019,1,2,2,30,0,1.0,0.4,94.36,1009
54,2019,1,2,3,0,0,1.0,0.3,94.5,1009
55,2019,1,2,3,30,0,1.0,0.3,94.5,1009
56,2019,1,2,4,0,0,1.0,0.3,94.34,1009
57,2019,1,2,4,30,0,0.9,0.3,94.34,1009
58,2019,1,2,5,0,0,0.9,0.3,93.95,1009
59,2019,1,2,5,30,0,0.9,0.3,93.95,1009
60,2019,1,2,6,0,0,0.8,0.2,94.26,1009
61,2019,1,2,6,30,0,0.9,0.3,93.67,1010
62,2019,1,2,7,0,0,0.9,0.4,93.55,1010
63,2019,1,2,7,30,5,1.3,0.8,90.89,1010
64,2019,1,2,8,0,10,1.7000000000000002,1.2000000000000002,86.19,1010
65,2019,1,2,8,30,14,1.7000000000000002,1.6,83.75,1010
66,2019,1,2,9,0,50,1.7000000000000002,2.0,80.84,1010
67,2019,1,2,9,30,43,1.9,2.3000000000000003,79.05,1009
68,2019,1,2,10,0,36,2.0,2.7,76.98,1009
69,2019,1,2,10,30,53,2.5,2.8000000000000003,76.44,1009
70,2019,1,2,11,0,81,3.0,2.9000000000000004,75.61,1008
71,2019,1,2,11,30,90,3.1,2.9000000000000004,75.61,1008
72,2019,1,2,12,0,117,3.3000000000000003,2.9000000000000004,74.8,1007
73,2019,1,2,12,30,106,3.2,2.8000000000000003,75.33,1007
74,2019,1,2,13,0,88,3.2,2.8000000000000003,74.51,1006
75,2019,1,2,13,30,86,3.0,2.7,75.04,1006
76,2019,1,2,14,0,79,2.8000000000000003,2.5,75.98,1005
77,2019,1,2,14,30,90,2.4000000000000004,2.3000000000000003,77.06,1005
78,2019,1,2,15,0,103,2.0,2.1,81.47,1005
79,2019,1,2,15,30,69,1.7000000000000002,1.5,85.03,1005
80,2019,1,2,16,0,36,1.3,1.0,90.23,1005
81,2019,1,2,16,30,8,1.4,0.8,91.53,1005
82,2019,1,2,17,0,0,1.5,0.6000000000000001,90.9,1005
83,2019,1,2,17,30,0,1.5,0.6000000000000001,90.9,1005
84,2019,1,2,18,0,0,1.8,0.5,90.96,1005
85,2019,1,2,18,30,0,1.8,0.4,91.62,1005
86,2019,1,2,19,0,0,1.8,0.4,91.21,1005
87,2019,1,2,19,30,0,1.9,0.3,91.96,1006
88,2019,1,2,20,0,0,2.0,0.3,91.47,1006
89,2019,1,2,20,30,0,1.9,0.1,92.8,1006
90,2019,1,2,21,0,0,1.8,-0.1,92.99,1006
91,2019,1,2,21,30,0,1.7000000000000002,-0.4,95.04,1006
92,2019,1,2,22,0,0,1.5,-0.7000000000000001,94.06,1005
93,2019,1,2,22,30,0,1.4,-1.0,96.14,1005
94,2019,1,2,23,0,0,1.2000000000000002,-1.2000000000000002,94.53,1005
95,2019,1,2,23,30,0,1.1,-1.4,95.92,1005
96,2019,1,3,0,0,0,0.9,-1.6,94.67,1006
97,2019,1,3,0,30,0,0.9,-1.7000000000000002,95.37,1006
98,2019,1,3,1,0,0,0.8,-1.8,93.6,1006
99,2019,1,3,1,30,0,0.7000000000000001,-1.9,94.29,1006
100,2019,1,3,2,0,0,0.7000000000000001,-1.9,91.98,1006
101,2019,1,3,2,30,0,0.7000000000000001,-2.1,93.35,1006
102,2019,1,3,3,0,0,0.7000000000000001,-2.2,91.77,1005
103,2019,1,3,3,30,0,0.7000000000000001,-2.4000000000000004,93.14,1005
104,2019,1,3,4,0,0,0.8,-2.5,91.24,1005
105,2019,1,3,4,30,0,0.8,-2.8000000000000003,93.3,1005
106,2019,1,3,5,0,0,0.8,-3.1,92.56,1005
107,2019,1,3,5,30,0,0.8,-3.2,93.34,1006
108,2019,1,3,6,0,0,0.8,-3.3000000000000003,91.77,1006
109,2019,1,3,6,30,0,0.7000000000000001,-3.1,90.41,1006
110,2019,1,3,7,0,0,0.7000000000000001,-2.9000000000000004,89.60000000000001,1006
111,2019,1,3,7,30,37,0.7000000000000001,-1.8,82.60000000000001,1006
112,2019,1,3,8,0,84,0.8,-0.7000000000000001,76.06,1007
113,2019,1,3,8,30,192,0.8,0.1,71.77,1007
114,2019,1,3,9,0,272,0.8,0.8,66.2,1006
115,2019,1,3,9,30,344,0.9,1.5,62.96,1006
116,2019,1,3,10,0,406,1.0,2.2,61.86,1006
117,2019,1,3,10,30,456,1.1,2.8000000000000003,59.22,1005
118,2019,1,3,11,0,492,1.3,3.3000000000000003,59.6,1005
119,2019,1,3,11,30,436,1.5,3.8,57.48,1004
120,2019,1,3,12,0,411,1.7000000000000002,4.3,58.02,1004
121,2019,1,3,12,30,405,1.7000000000000002,4.6000000000000005,56.76,1003
122,2019,1,3,13,0,375,1.7000000000000002,4.800000000000001,57.21,1003
123,2019,1,3,13,30,315,1.7000000000000002,4.6000000000000005,58.02,1003
124,2019,1,3,14,0,264,1.7000000000000002,4.5,59.74,1003
125,2019,1,3,14,30,182,1.4,4.1000000000000005,61.43,1003
126,2019,1,3,15,0,139,1.1,3.6,76.19,1004
127,2019,1,3,15,30,73,1.0,2.9000000000000004,80.05,1004
128,2019,1,3,16,0,13,0.8,2.2,75.99,1004
129,2019,1,3,16,30,8,0.5,2.2,75.99,1004
130,2019,1,3,17,0,0,0.3,2.3000000000000003,68.22,1003
131,2019,1,3,17,30,0,0.3,2.3000000000000003,68.22,1003
132,2019,1,3,18,0,0,0.9,1.0,73.74,1002
133,2019,1,3,18,30,0,0.8,1.1,73.29,1003
134,2019,1,3,19,0,0,0.7000000000000001,1.2000000000000002,71.34,1003
135,2019,1,3,19,30,0,0.8,1.1,71.85000000000001,1003
136,2019,1,3,20,0,0,1.0,1.0,74.04,1003
137,2019,1,3,20,30,0,1.0,0.9,74.5,1002
138,2019,1,3,21,0,0,1.0,0.7000000000000001,77.22,1002
139,2019,1,3,21,30,0,1.0,0.5,78.27,1001
140,2019,1,3,22,0,0,1.1,0.2,80.96000000000001,1000
141,2019,1,3,22,30,0,1.1,-0.4,84.56,1000
142,2019,1,3,23,0,0,1.2000000000000002,-0.9,86.72,1000
143,2019,1,3,23,30,0,1.2000000000000002,-1.1,87.99,1000
144,2019,1,4,0,0,0,1.2000000000000002,-1.3,90.77,1000
145,2019,1,4,0,30,0,1.4,-1.0,88.71000000000001,999
146,2019,1,4,1,0,0,1.6,-0.7000000000000001,89.37,998
147,2019,1,4,1,30,0,1.6,-0.9,90.69,998
148,2019,1,4,2,0,0,1.7000000000000002,-1.0,91.29,998
149,2019,1,4,2,30,0,1.8,-1.2000000000000002,92.63,998
150,2019,1,4,3,0,0,1.8,-1.3,94.39,998
151,2019,1,4,3,30,0,1.9,-0.8,90.91,997
152,2019,1,4,4,0,0,2.1,-0.3,91.77,997
153,2019,1,4,4,30,0,2.2,-0.1,90.35,996
154,2019,1,4,5,0,0,2.4000000000000004,0.0,92.06,996
155,2019,1,4,5,30,0,2.6,-0.2,93.31,995
156,2019,1,4,6,0,0,2.7,-0.3,93.86,995
157,2019,1,4,6,30,0,3.5,0.0,91.84,995
158,2019,1,4,7,0,0,4.2,0.3,91.04,994
159,2019,1,4,7,30,18,4.5,1.1,85.94,994
160,2019,1,4,8,0,8,4.9,2.0,85.08,994
161,2019,1,4,8,30,8,4.800000000000001,3.0,79.25,994
162,2019,1,4,9,0,54,4.800000000000001,4.1000000000000005,79.66,994
163,2019,1,4,9,30,82,4.9,4.800000000000001,75.78,993
164,2019,1,4,10,0,18,4.9,5.6000000000000005,78.29,992
165,2019,1,4,10,30,40,5.0,5.9,76.69,992
166,2019,1,4,11,0,49,5.1000000000000005,6.1000000000000005,79.92,991
167,2019,1,4,11,30,44,5.1000000000000005,6.1000000000000005,79.92,991
168,2019,1,4,12,0,26,5.1000000000000005,6.0,83.31,990
169,2019,1,4,12,30,34,5.1000000000000005,5.800000000000001,84.46000000000001,990
170,2019,1,4,13,0,23,5.1000000000000005,5.6000000000000005,86.39,990
171,2019,1,4,13,30,38,5.1000000000000005,5.4,87.59,990
172,2019,1,4,14,0,66,5.1000000000000005,5.1000000000000005,88.22,990
173,2019,1,4,14,30,43,4.800000000000001,4.800000000000001,90.08,990
174,2019,1,4,15,0,12,4.5,4.5,90.02,990
175,2019,1,4,15,30,8,3.9,4.2,92.03,991
176,2019,1,4,16,0,6,3.3000000000000003,3.9,91.6,991
177,2019,1,4,16,30,2,2.8000000000000003,3.7,92.9,991
178,2019,1,4,17,0,0,2.4000000000000004,3.4000000000000004,92.33,992
179,2019,1,4,17,30,0,2.4000000000000004,3.4000000000000004,92.33,992
180,2019,1,4,18,0,0,2.3000000000000003,3.1,89.8,993
181,2019,1,4,18,30,0,2.3000000000000003,3.1,89.8,993
182,2019,1,4,19,0,0,2.4000000000000004,3.1,86.67,993
183,2019,1,4,19,30,0,2.8000000000000003,3.2,86.06,993
184,2019,1,4,20,0,0,3.2,3.3000000000000003,83.10000000000001,993
185,2019,1,4,20,30,0,3.4000000000000004,3.0,84.88,993
186,2019,1,4,21,0,0,3.6,2.8000000000000003,83.3,993
187,2019,1,4,21,30,0,3.6,2.2,86.92,993
188,2019,1,4,22,0,0,3.5,1.7000000000000002,87.02,993
189,2019,1,4,22,30,0,3.4000000000000004,1.2000000000000002,90.2,993
190,2019,1,4,23,0,0,3.3000000000000003,0.7000000000000001,91.37,993
191,2019,1,4,23,30,0,3.1,0.5,92.79,994
192,2019,1,5,0,0,0,3.0,0.2,94.2,994
193,2019,1,5,0,30,0,2.9000000000000004,0.0,95.57,994
194,2019,1,5,1,0,0,2.8000000000000003,-0.3,97.46,995
195,2019,1,5,1,30,0,2.7,-0.5,98.88,995
196,2019,1,5,2,0,0,2.6,-0.8,100.0,995
197,2019,1,5,2,30,0,2.6,-1.0,100.0,995
198,2019,1,5,3,0,0,2.5,-1.2000000000000002,100.0,995
199,2019,1,5,3,30,0,2.4000000000000004,-1.4,100.0,996
200,2019,1,5,4,0,0,2.2,-1.6,100.0,996
201,2019,1,5,4,30,0,2.1,-1.7000000000000002,100.0,997
202,2019,1,5,5,0,0,1.9,-1.9,100.0,997
203,2019,1,5,5,30,0,1.8,-1.9,100.0,997
204,2019,1,5,6,0,0,1.7000000000000002,-1.9,100.0,998
205,2019,1,5,6,30,0,2.0,-1.4,100.0,999
206,2019,1,5,7,0,0,2.3000000000000003,-1.0,99.82,999
207,2019,1,5,7,30,22,2.6,0.1,92.24,1000
208,2019,1,5,8,0,71,2.9000000000000004,1.1,92.52,1000
209,2019,1,5,8,30,144,2.8000000000000003,2.3000000000000003,84.92,1000
210,2019,1,5,9,0,257,2.7,3.5,87.98,1001
211,2019,1,5,9,30,333,2.7,5.0,79.22,1001
212,2019,1,5,10,0,394,2.7,6.6000000000000005,81.72,1001
213,2019,1,5,10,30,442,3.0,8.200000000000001,73.27,1001
214,2019,1,5,11,0,478,3.2,9.8,73.17,1000
215,2019,1,5,11,30,498,3.3000000000000003,10.8,68.45,1000
216,2019,1,5,12,0,503,3.5,11.8,69.05,1000
217,2019,1,5,12,30,493,3.5,12.5,65.95,1000
218,2019,1,5,13,0,469,3.6,13.1,66.14,1000
219,2019,1,5,13,30,431,3.5,13.2,65.71000000000001,1000
220,2019,1,5,14,0,380,3.5,13.3,67.79,1000
221,2019,1,5,14,30,317,2.8000000000000003,12.5,71.42,1000
222,2019,1,5,15,0,246,2.1,11.7,80.16,1001
223,2019,1,5,15,30,168,2.0,9.8,90.94,1001
224,2019,1,5,16,0,90,1.8,8.0,91.74,1001
225,2019,1,5,16,30,23,1.9,7.300000000000001,96.22,1001
226,2019,1,5,17,0,0,2.0,6.7,97.93,1002
227,2019,1,5,17,30,0,2.0,6.7,97.93,1002
228,2019,1,5,18,0,0,2.2,6.300000000000001,100.0,1002
229,2019,1,5,18,30,0,2.2,6.0,100.0,1003
230,2019,1,5,19,0,0,2.2,5.7,100.0,1003
231,2019,1,5,19,30,0,2.2,5.4,100.0,1003
232,2019,1,5,20,0,0,2.2,5.1000000000000005,100.0,1004
233,2019,1,5,20,30,0,2.1,4.800000000000001,100.0,1004
234,2019,1,5,21,0,0,2.1,4.6000000000000005,100.0,1004
235,2019,1,5,21,30,0,2.0,4.3,100.0,1004
236,2019,1,5,22,0,0,1.9,3.9,100.0,1003
237,2019,1,5,22,30,0,1.8,3.6,100.0,1003
238,2019,1,5,23,0,0,1.7000000000000002,3.3000000000000003,100.0,1003
239,2019,1,5,23,30,0,1.6,3.0,100.0,1003
240,2019,1,6,0,0,0,1.6,2.8000000000000003,100.0,1003
241,2019,1,6,0,30,0,1.5,2.8000000000000003,100.0,1004
242,2019,1,6,1,0,0,1.5,2.8000000000000003,100.0,1004
243,2019,1,6,1,30,0,1.4,3.0,100.0,1004
244,2019,1,6,2,0,0,1.4,3.3000000000000003,100.0,1004
245,2019,1,6,2,30,0,1.3,3.6,100.0,1004
246,2019,1,6,3,0,0,1.2000000000000002,3.9,100.0,1004
247,2019,1,6,3,30,0,1.0,4.0,100.0,1004
248,2019,1,6,4,0,0,0.7000000000000001,4.1000000000000005,100.0,1005
249,2019,1,6,4,30,0,0.5,4.0,100.0,1005
250,2019,1,6,5,0,0,0.2,3.9,100.0,1005
251,2019,1,6,5,30,0,0.4,3.7,100.0,1005
252,2019,1,6,6,0,0,0.6000000000000001,3.6,99.66,1005
253,2019,1,6,6,30,0,1.0,3.6,99.76,1006
254,2019,1,6,7,0,0,1.4,3.5,98.49,1006
255,2019,1,6,7,30,22,1.8,3.9,95.76,1006
256,2019,1,6,8,0,70,2.1,4.3,96.27,1007
257,2019,1,6,8,30,126,2.3000000000000003,5.0,91.68,1007
258,2019,1,6,9,0,223,2.4000000000000004,5.7,94.57,1007
259,2019,1,6,9,30,327,2.5,6.9,87.08,1007
260,2019,1,6,10,0,388,2.6,8.0,88.53,1007
261,2019,1,6,10,30,427,2.6,8.9,83.23,1006
262,2019,1,6,11,0,457,2.7,9.7,84.15,1006
263,2019,1,6,11,30,365,2.8000000000000003,10.2,81.31,1005
264,2019,1,6,12,0,400,2.9000000000000004,10.7,82.39,1005
265,2019,1,6,12,30,386,2.7,10.8,81.76,1004
266,2019,1,6,13,0,413,2.6,10.9,84.57000000000001,1004
267,2019,1,6,13,30,341,2.6,11.1,83.45,1004
268,2019,1,6,14,0,262,2.6,11.3,85.68,1004
269,2019,1,6,14,30,190,2.2,11.2,86.25,1004
270,2019,1,6,15,0,127,1.8,11.0,89.76,1004
271,2019,1,6,15,30,86,1.6,9.8,97.22,1004
272,2019,1,6,16,0,54,1.4,8.6,99.04,1005
273,2019,1,6,16,30,14,1.7000000000000002,8.6,99.04,1005
274,2019,1,6,17,0,0,2.0,8.6,99.64,1005
275,2019,1,6,17,30,0,2.0,8.6,99.64,1005
276,2019,1,6,18,0,0,2.8000000000000003,8.8,99.06,1004
277,2019,1,6,18,30,0,3.0,8.6,100.0,1004
278,2019,1,6,19,0,0,3.2,8.5,100.0,1004
279,2019,1,6,19,30,0,3.3000000000000003,8.3,100.0,1004
280,2019,1,6,20,0,0,3.4000000000000004,8.1,100.0,1003
281,2019,1,6,20,30,0,3.5,8.0,100.0,1003
282,2019,1,6,21,0,0,3.6,7.800000000000001,100.0,1003
283,2019,1,6,21,30,0,3.6,7.7,100.0,1003
284,2019,1,6,22,0,0,3.5,7.5,100.0,1003
285,2019,1,6,22,30,0,3.6,7.300000000000001,100.0,1003
286,2019,1,6,23,0,0,3.6,7.1000000000000005,100.0,1003
287,2019,1,6,23,30,0,3.7,6.9,100.0,1002
288,2019,1,7,0,0,0,3.9,6.800000000000001,100.0,1002
289,2019,1,7,0,30,0,4.0,6.7,100.0,1002
290,2019,1,7,1,0,0,4.1000000000000005,6.6000000000000005,100.0,1002
291,2019,1,7,1,30,0,4.1000000000000005,6.5,100.0,1002
292,2019,1,7,2,0,0,4.2,6.4,100.0,1001
293,2019,1,7,2,30,0,4.2,6.300000000000001,100.0,1001
294,2019,1,7,3,0,0,4.2,6.2,99.73,1001
295,2019,1,7,3,30,0,4.4,6.2,99.63,1000
296,2019,1,7,4,0,0,4.6000000000000005,6.1000000000000005,99.45,1000
297,2019,1,7,4,30,0,4.7,6.300000000000001,98.09,1000
298,2019,1,7,5,0,0,4.800000000000001,6.4,97.49,999
299,2019,1,7,5,30,0,4.800000000000001,6.4,97.49,999
300,2019,1,7,6,0,0,4.800000000000001,6.5,97.3,999
301,2019,1,7,6,30,0,5.1000000000000005,6.800000000000001,95.32,999
302,2019,1,7,7,0,0,5.300000000000001,7.0,95.21,998
303,2019,1,7,7,30,9,5.7,7.9,89.54,998
304,2019,1,7,8,0,32,6.0,8.9,89.19,998
305,2019,1,7,8,30,57,6.2,9.9,83.32000000000001,997
306,2019,1,7,9,0,66,6.4,11.0,84.89,997
307,2019,1,7,9,30,41,7.2,12.0,79.47,997
308,2019,1,7,10,0,48,7.9,13.1,80.59,996
309,2019,1,7,10,30,60,8.1,13.7,77.51,996
310,2019,1,7,11,0,63,8.4,14.3,81.13,995
311,2019,1,7,11,30,81,8.4,14.6,79.57000000000001,995
312,2019,1,7,12,0,54,8.3,14.9,83.57000000000001,994
313,2019,1,7,12,30,73,8.3,15.1,82.5,994
314,2019,1,7,13,0,78,8.3,15.4,84.42,994
315,2019,1,7,13,30,49,8.1,15.4,84.42,994
316,2019,1,7,14,0,34,7.9,15.4,86.56,994
317,2019,1,7,14,30,47,7.5,15.2,87.67,994
318,2019,1,7,15,0,26,7.1000000000000005,15.0,90.38,995
319,2019,1,7,15,30,17,6.6000000000000005,14.8,91.55,995
320,2019,1,7,16,0,9,6.1000000000000005,14.6,93.25,996
321,2019,1,7,16,30,3,5.300000000000001,14.1,96.31,996
322,2019,1,7,17,0,0,4.6000000000000005,13.5,99.48,996
323,2019,1,7,17,30,0,4.6000000000000005,13.5,99.48,996
324,2019,1,7,18,0,0,3.6,12.2,100.0,997
325,2019,1,7,18,30,0,3.8,12.2,100.0,997
326,2019,1,7,19,0,0,4.0,12.2,100.0,997
327,2019,1,7,19,30,0,4.2,12.3,100.0,998
328,2019,1,7,20,0,0,4.3,12.4,100.0,998
329,2019,1,7,20,30,0,4.2,12.3,100.0,998
330,2019,1,7,21,0,0,4.0,12.2,100.0,998
331,2019,1,7,21,30,0,3.9,12.0,100.0,998
332,2019,1,7,22,0,0,3.8,11.8,100.0,998
333,2019,1,7,22,30,0,3.7,11.6,100.0,997
334,2019,1,7,23,0,0,3.7,11.5,100.0,997
335,2019,1,7,23,30,0,3.7,11.4,100.0,997
336,2019,1,8,0,0,0,3.6,11.2,100.0,997
337,2019,1,8,0,30,0,3.6,11.1,100.0,997
338,2019,1,8,1,0,0,3.6,11.0,100.0,997
339,2019,1,8,1,30,0,3.5,10.8,100.0,997
340,2019,1,8,2,0,0,3.3000000000000003,10.5,100.0,997
341,2019,1,8,2,30,0,3.1,10.0,100.0,997
342,2019,1,8,3,0,0,2.8000000000000003,9.5,100.0,997
343,2019,1,8,3,30,0,2.7,9.1,100.0,997
344,2019,1,8,4,0,0,2.6,8.700000000000001,100.0,997
345,2019,1,8,4,30,0,2.6,8.3,100.0,998
346,2019,1,8,5,0,0,2.6,8.0,100.0,998
347,2019,1,8,5,30,0,2.7,7.9,100.0,997
348,2019,1,8,6,0,0,2.9000000000000004,7.7,100.0,997
349,2019,1,8,6,30,0,3.5,8.1,100.0,997
350,2019,1,8,7,0,0,4.1000000000000005,8.5,100.0,997
351,2019,1,8,7,30,36,4.9,9.5,97.43,997
352,2019,1,8,8,0,109,5.6000000000000005,10.5,93.45,997
353,2019,1,8,8,30,191,6.6000000000000005,11.4,88.13,998
354,2019,1,8,9,0,270,7.6,12.2,79.60000000000001,998
355,2019,1,8,9,30,344,8.4,12.1,80.13,998
356,2019,1,8,10,0,406,9.2,12.1,65.06,999
357,2019,1,8,10,30,458,9.4,11.8,66.36,999
358,2019,1,8,11,0,495,9.7,11.6,59.370000000000005,999
359,2019,1,8,11,30,515,9.8,11.4,60.22,1000
360,2019,1,8,12,0,520,9.8,11.3,58.65,1000
361,2019,1,8,12,30,510,9.5,11.0,59.88,1001
362,2019,1,8,13,0,458,9.2,10.8,59.84,1001
363,2019,1,8,13,30,431,8.700000000000001,10.5,61.11,1002
364,2019,1,8,14,0,340,8.200000000000001,10.2,56.89,1002
365,2019,1,8,14,30,245,7.6,9.7,58.88,1003
366,2019,1,8,15,0,217,7.1000000000000005,9.2,53.370000000000005,1004
367,2019,1,8,15,30,186,6.300000000000001,8.1,57.49,1004
368,2019,1,8,16,0,103,5.5,7.0,58.97,1005
369,2019,1,8,16,30,25,5.2,6.300000000000001,61.870000000000005,1005
370,2019,1,8,17,0,0,4.9,5.5,64.87,1005
371,2019,1,8,17,30,0,4.9,5.5,64.87,1005
372,2019,1,8,18,0,0,4.9,4.7,68.31,1006
373,2019,1,8,18,30,0,5.1000000000000005,4.4,69.75,1006
374,2019,1,8,19,0,0,5.2,4.2,70.64,1006
375,2019,1,8,19,30,0,5.300000000000001,4.0,71.64,1006
376,2019,1,8,20,0,0,5.4,3.8,73.69,1007
377,2019,1,8,20,30,0,5.4,3.6,74.74,1007
378,2019,1,8,21,0,0,5.4,3.5,77.25,1007
379,2019,1,8,21,30,0,5.6000000000000005,3.4000000000000004,77.8,1007
380,2019,1,8,22,0,0,5.800000000000001,3.4000000000000004,79.32000000000001,1007
381,2019,1,8,22,30,0,6.1000000000000005,3.3000000000000003,79.88,1007
382,2019,1,8,23,0,0,6.4,3.3000000000000003,80.23,1007
383,2019,1,8,23,30,0,6.4,3.0,81.95,1007
384,2019,1,9,0,0,0,6.300000000000001,2.7,80.9,1008
385,2019,1,9,0,30,0,6.2,2.2,83.82000000000001,1008
386,2019,1,9,1,0,0,6.1000000000000005,1.7000000000000002,79.18,1008
387,2019,1,9,1,30,0,6.0,1.1,82.74,1009
388,2019,1,9,2,0,0,5.800000000000001,0.6000000000000001,75.83,1009
389,2019,1,9,2,30,0,5.800000000000001,0.0,79.19,1009
390,2019,1,9,3,0,0,5.7,-0.6000000000000001,73.97,1009
391,2019,1,9,3,30,0,5.7,-1.1,76.72,1009
392,2019,1,9,4,0,0,5.6000000000000005,-1.6,72.79,1009
393,2019,1,9,4,30,0,5.6000000000000005,-2.0,74.97,1009
394,2019,1,9,5,0,0,5.6000000000000005,-2.4000000000000004,71.82000000000001,1010
395,2019,1,9,5,30,0,5.5,-2.7,73.44,1010
396,2019,1,9,6,0,0,5.5,-3.0,71.04,1010
397,2019,1,9,6,30,0,5.5,-3.1,71.57000000000001,1010
398,2019,1,9,7,0,0,5.4,-3.1,70.03,1011
399,2019,1,9,7,30,36,5.9,-2.5,66.98,1011
400,2019,1,9,8,0,117,6.300000000000001,-1.9,62.66,1011
401,2019,1,9,8,30,201,6.6000000000000005,-1.5,60.9,1012
402,2019,1,9,9,0,283,7.0,-1.0,57.17,1012
403,2019,1,9,9,30,357,7.0,-0.6000000000000001,55.53,1012
404,2019,1,9,10,0,420,7.0,-0.3,55.28,1012
405,2019,1,9,10,30,468,7.1000000000000005,0.0,54.03,1011
406,2019,1,9,11,0,505,7.1000000000000005,0.3,53.620000000000005,1011
407,2019,1,9,11,30,466,7.1000000000000005,0.4,53.23,1011
408,2019,1,9,12,0,504,7.1000000000000005,0.5,53.02,1011
409,2019,1,9,12,30,524,7.0,0.5,53.02,1011
410,2019,1,9,13,0,500,6.9,0.5,52.86,1011
411,2019,1,9,13,30,462,6.800000000000001,0.4,53.24,1011
412,2019,1,9,14,0,410,6.7,0.2,53.54,1011
413,2019,1,9,14,30,346,6.4,-0.2,55.11,1011
414,2019,1,9,15,0,272,6.2,-0.6000000000000001,56.17,1011
415,2019,1,9,15,30,190,5.5,-1.3,59.120000000000005,1011
416,2019,1,9,16,0,107,4.800000000000001,-2.1,63.39,1012
417,2019,1,9,16,30,34,4.2,-2.8000000000000003,66.76,1012
418,2019,1,9,17,0,0,3.5,-3.5,72.5,1012
419,2019,1,9,17,30,0,3.5,-3.5,72.5,1012
420,2019,1,9,18,0,0,2.9000000000000004,-4.4,78.0,1013
421,2019,1,9,18,30,0,2.9000000000000004,-4.6000000000000005,79.18,1013
422,2019,1,9,19,0,0,2.8000000000000003,-4.800000000000001,79.54,1013
423,2019,1,9,19,30,0,2.7,-5.0,80.75,1013
424,2019,1,9,20,0,0,2.6,-5.2,81.37,1013
